Category Age Income Region Temperature Purchases Rating
5 c c 4 c 10 c
4 26 76028 4 37.4572865795693 6 4.458889505020213
5 33 87732 1 34.334019364902375 8 4.251604036520311
3 49 88505 4 3.044681167085697 3 4.998870693144522
5 23 52360 4 -9.234772985480763 3 4.9865473482956215
5 44 91021 4 36.67181540397415 5 3.22172682241051
2 52 88074 1 15.051994195762962 2 4.075949660722042
3 39 94850 3 16.968872420003127 5 4.7790629195297125
3 18 82827 4 24.198188469907052 6 4.398589562709645
3 38 73519 2 20.792558219495692 9 1.9893924069727906
5 34 66454 1 37.19458022803786 9 2.802176541240374
4 39 49782 4 37.212579856258365 2 1.51663766060598
3 42 95210 4 33.35994667775019 6 4.8162041090348895
5 27 97893 2 21.820179872300564 2 3.42469853780352
2 26 42713 3 30.047464734119984 1 1.9145712220138509
4 33 44429 3 23.858417119149088 9 3.686802737623427
2 25 58849 3 18.668352083596666 3 3.4725129618315833
4 36 55873 4 -3.5749823383044905 7 2.432650872131362
5 33 99556 4 30.56020883680015 8 1.454230368798516
1 61 34074 4 31.03197378719777 6 3.6862927823711984
4 24 21446 1 21.29698350507864 0 3.081230803615173
2 27 59511 2 31.021342188563402 2 4.089273566942557
5 39 34305 4 22.5742385928894 8 3.0806540044479735
4 43 49317 2 0.33421799383726913 0 4.408726001274161
1 57 79533 2 3.6980563660566883 8 3.207627355097942
1 51 77675 3 0.7294559854187064 7 3.243751886141545
3 43 44644 1 8.862954161398793 0 4.5066144106333805
3 37 63403 4 -8.051843384488318 5 2.613931464849588
2 43 60705 3 20.912694216894643 4 1.536060913802563
4 28 70906 3 6.827710744436324 5 1.115130705253356
4 31 40036 4 22.786131769037105 9 4.0205490226944764
3 20 67189 2 9.269831048278252 4 3.4812382054138586
4 32 98311 3 24.08068344863949 5 3.8163190723968943
4 44 58939 2 7.031228473212 4 1.851856646035643
1 32 92487 1 3.0347264117951553 4 1.545485902347079
3 27 54751 2 14.80187271467031 3 1.0581786626715277
5 31 48006 1 24.64451793459697 2 2.402350235226388
3 42 71608 2 7.416830222659868 2 3.3596707474185323
5 32 73513 3 36.832407592785366 3 2.5689761803989293
1 43 89133 3 -8.040683666217687 8 2.7498996880949163
2 21 38414 1 10.897301585778937 1 4.616634777974994
4 26 59935 4 38.379027576012376 8 2.3930218680932014
1 29 65760 1 17.398594162404365 0 3.055957956639243
4 21 81484 1 11.173547115405928 0 4.134612050964572
2 64 23488 2 18.426014187497916 4 2.5861711292850806
2 24 99564 2 18.79622876290423 5 3.488346800911494
1 44 57595 1 26.58238776498201 5 4.44945483498698
2 28 42364 3 -3.61551352887672 2 4.7980824946305685
5 29 90679 2 2.5008224608052334 6 1.5882939237161517
2 38 79817 4 19.027200617195493 8 4.706350500645978
4 20 96245 2 33.3558303604861 9 2.9684651723181528
4 28 46460 2 18.09333460718868 7 2.0329775531958334
4 33 64221 4 1.9298429895170095 5 2.8365430249530452
4 26 65783 1 23.992238995012293 7 4.920130301141908
5 26 98426 4 26.995438022368724 4 2.9704723759714784
3 45 26027 1 1.9118076201989727 7 2.315006441150033
1 45 44455 1 8.886444308814742 9 3.533603417266903
4 30 35272 1 16.71637367652817 3 1.9605824751127723
2 34 41477 4 14.828059534153883 9 1.3034533124346557
4 47 58822 1 9.480904310960174 7 1.515518887642597
2 20 49814 3 4.881758725465543 9 1.5121833558310898
2 38 51575 4 -5.0007556419068315 1 1.6076107740491774
4 54 87537 3 -7.325735162631554 4 1.5553086905976405
5 54 94401 1 37.92707484415992 8 3.5634989792128584
2 15 25633 2 32.35715720477949 3 1.7275203375965793
2 27 36713 1 7.745259523136031 5 2.382669133295453
4 36 73691 3 37.84004425632282 0 4.587153639624047
2 21 48691 3 23.83849522121516 8 2.8958465610514894
2 28 40333 4 14.126047482132122 0 3.6702309540841087
4 33 43623 2 14.651282888590249 4 1.6892794848065193
4 49 45804 4 -5.835779440237018 3 1.769156075234683
1 34 87893 3 -5.414792637075946 2 1.1634744650659155
5 37 30929 1 20.12204629505595 5 1.6757402522886582
5 40 76712 2 17.685152617290036 1 2.1143613561278345
